id,xPos,yPos,floor,location,name
225,-85.641819,42.252688,2,Floyd,A Wing Faculty Hall 08
226,-85.641868,42.252706,2,Floyd,A Wing Faculty Hall 09
227,-85.641855,42.252680,2,Floyd,A231
228,-85.641904,42.252698,2,Floyd,A232
229,-85.641880,42.252733,2,Floyd,A233
230,-85.641831,42.252715,2,Floyd,A234
231,-85.641794,42.252679,2,Floyd,A235
232,-85.641799,42.252717,2,Floyd,A Wing Faculty Hall 10
233,-85.641775,42.252708,2,Floyd,A236
234,-85.641779,42.252747,2,Floyd,A Wing Faculty Hall 11
235,-85.641828,42.252765,2,Floyd,A Wing Faculty Hall 12
236,-85.641816,42.252738,2,Floyd,A237
237,-85.641865,42.252756,2,Floyd,A238
238,-85.641841,42.252791,2,Floyd,A239
239,-85.641792,42.252773,2,Floyd,A240
240,-85.641755,42.252738,2,Floyd,A241
241,-85.641760,42.252776,2,Floyd,A Wing Faculty Hall 13
242,-85.641735,42.252767,2,Floyd,A242
243,-85.641740,42.252805,2,Floyd,A Wing Faculty Entrance
244,-85.641789,42.252823,2,Floyd,,A Wing Faculty Hall 14
245,-85.641776,42.252797,2,Floyd,A244
246,-85.641825,42.252815,2,Floyd,A245
247,-85.641802,42.252850,2,Floyd,A246
248,-85.641753,42.252832,2,Floyd,A247
249,-85.641716,42.252796,2,Floyd,A243
250,-85.641611,42.252999,2,Floyd,B Wing Faculty Entrance
251,-85.641660,42.253017,2,Floyd,B Wing Faculty Hall 01
252,-85.641647,42.252990,2,Floyd,B227
253,-85.641696,42.253008,2,Floyd,B228
254,-85.641673,42.253044,2,Floyd,B229
255,-85.641624,42.253026,2,Floyd,B231
256,-85.641586,42.252990,2,Floyd,B224
257,-85.641591,42.253028,2,Floyd,B Wing Faculty Hall 02
258,-85.641567,42.253019,2,Floyd,B225
259,-85.641572,42.253058,2,Floyd,B Wing Faculty Hall 03
260,-85.641621,42.253076,2,Floyd,B Wing Faculty Hall 04
261,-85.641608,42.253049,2,Floyd,B231a
262,-85.641657,42.253067,2,Floyd,B233
263,-85.641633,42.253102,2,Floyd,B234
264,-85.641584,42.253084,2,Floyd,B266a
265,-85.641519,42.253046,2,Floyd,B Wing Faculty Hall Entrance
266,-85.641568,42.253064,2,Floyd,B Wing Faculty Hall 05
267,-85.641413,42.253204,2,Floyd,C Wing Faculty Hall Entrance
268,-85.641462,42.253222,2,Floyd,C Wing Faculty Hall 01
269,-85.641456,42.253231,2,Floyd,C Wing Faculty Hall 02
270,-85.641505,42.253249,2,Floyd,C Wing Faculty Hall 03
271,-85.641541,42.253240,2,Floyd,B239
272,-85.641518,42.253275,2,Floyd,B240
273,-85.641469,42.253257,2,Floyd,B241
274,-85.641431,42.253222,2,Floyd,B242
275,-85.641446,42.253245,2,Floyd,C Wing Faculty Hall 04
276,-85.641422,42.253236,2,Floyd,B247
277,-85.641419,42.253287,2,Floyd,C Wing Faculty Hall 05
278,-85.641468,42.253305,2,Floyd,C Wing Faculty Hall 06
279,-85.641455,42.253278,2,Floyd,B246
280,-85.641504,42.253296,2,Floyd,B245
281,-85.641480,42.253331,2,Floyd,B248
282,-85.641431,42.253313,2,Floyd,B249
283,-85.641394,42.253278,2,Floyd,B250
284,-85.641399,42.253316,2,Floyd,C Wing Faculty Hall 06
285,-85.641375,42.253307,2,Floyd,Desks in Faculty Hall 1
286,-85.641379,42.253345,2,Floyd,C Wing Faculty Hall 07
287,-85.641428,42.253363,2,Floyd,C Wing Faculty Hall 08
288,-85.641416,42.253337,2,Floyd,B253
289,-85.641465,42.253355,2,Floyd,B254
290,-85.641441,42.253390,2,Floyd,B256
291,-85.641392,42.253372,2,Floyd,B257
292,-85.641355,42.253336,2,Floyd,Desks in Faculty Hall 2
293,-85.641001,42.253820,2,Floyd,C Elevator Entrance
294,-85.640854,42.253766,2,Floyd,C Staircase
295,-85.641099,42.254072,2,Middle of Arching Hallway Second Floor
296,-85.640942,42.254276,2,Floyd,Hallway to A-C Wing Second Floor
297,-85.640692,42.254348,2,Floyd,Above Main Entrance
298,-85.640356,42.254229,2,Floyd,Start of E-G Wing Second Floor
299,-85.640296,42.254100,2,Floyd,E Staircase
300,-85.639810,42.254373,2,Floyd,EF Commons Hall Second Floor
301,-85.639830,42.254416,2,Floyd,E Commons
302,-85.639750,42.254244,2,Floyd,EF Staircase
303,-85.639025,42.254579,2,Floyd,FG Commons Hall Second Floor
304,-85.639045,42.254622,2,Floyd,F Commons
305,-85.638965,42.254450,2,Floyd,FG Staircase
306,-85.638244,42.254785,2,Floyd,End of E-G Wing
307,-85.638184,42.254656,2,Floyd,G Exit
